timestamp,price,market_cap,volume
2025-03-16 15:03:58.489,83368.7697151249,1653779954158.0417,14567492767.953434
2025-03-16 16:03:49.887,83327.41736609103,1654044774035.2227,14782524315.520037
2025-03-16 17:10:45.596,83963.75617065372,1662582940463.4248,17685205115.31107
2025-03-16 18:09:56.347,83850.26919968214,1665041349433.205,18096767197.734604
2025-03-16 19:11:05.959,83673.10408191198,1665041349433.205,17671536978.509552
2025-03-16 20:09:45.562,83257.2524364498,1650250579784.3699,19568002942.424572
2025-03-16 21:09:52.499,83054.93850488712,1647210200954.5461,19920591555.355083
2025-03-16 22:04:49.388,82743.13181426356,1641440624644.2842,19808657240.13956
2025-03-16 23:04:36.763,82077.84518119802,1630167839348.9658,20945977227.046154
2025-03-17 00:09:48.565,82617.7331241566,1638737651555.1702,21877544080.929176
2025-03-17 01:09:39.987,83064.70985538384,1638737651555.1702,22530942838.022583
2025-03-17 02:04:49.745,83208.95029801303,1652104204949.9353,21395089633.29459
2025-03-17 03:04:59.644,83260.16652548696,1651197556871.9058,22821166197.4404
2025-03-17 04:04:51.969,83712.82326596747,1660655900116.381,23704778969.681656
2025-03-17 05:08:24.494,83431.48057163977,1654928382036.7798,24248374514.16546
2025-03-17 06:09:52.918,83272.61714728127,1648485428740.153,24705767710.93197
2025-03-17 07:07:04.946,83393.68086720291,1648485428740.153,25371694015.88135
2025-03-17 08:04:55.798,83528.44238695232,1657528198923.9094,21692964670.68874
2025-03-17 09:09:01.238,83476.89973804823,1656443619145.9617,25901365412.885525
2025-03-17 10:05:23.532,83625.88247117506,1658719570591.489,26464681961.55716
2025-03-17 11:09:49.971,83284.93030929644,1652864313079.37,26377399208.68291
2025-03-17 12:09:48.018,83333.77147533474,1657141047227.9456,25629928222.645393
2025-03-17 13:04:49.787,83054.86326244925,1657141047227.9456,22116000257.661633
2025-03-17 14:04:53.348,82932.58142558922,1647119754579.2239,23148448508.515636
2025-03-17 15:04:32.566,82888.72671035347,1644209507965.1384,26511085523.81332
2025-03-17 16:09:48.870,83583.93818642639,1656710107693.776,26943548872.965168
